Match List,,,,,,,,,,,,
Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,,Opposition,Ground,date
Ireland,lost,9,20,-11,0,0,3,0,,England,Lansdowne Road,27/08/2011
Ireland,won,22,10,12,3,2,1,0,,USA,New Plymouth,11/09/2011
Ireland,won,15,6,9,0,0,4,1,,Australia,Auckland,17/09/2011
Ireland,won,62,12,50,9,7,1,0,,Russia,Rotorua,25/09/2011
Ireland,won,36,6,30,3,3,5,0,,Italy,Dunedin,02/10/2011
Ireland,lost,10,22,-12,1,1,1,0,,Wales,Wellington,08/10/2011
Ireland,lost,21,23,-2,2,1,3,0,,Wales,Lansdowne Road,05/02/2012
Ireland,won,42,10,32,5,4,3,0,,Italy,Lansdowne Road,25/02/2012
Ireland,draw,17,17,0,2,2,1,0,,France,Stade de France,04/03/2012
Ireland,won,32,14,18,4,3,2,0,,Scotland,Lansdowne Road,10/03/2012
Ireland,lost,9,30,-21,0,0,3,0,,England,Twickenham,17/03/2012
Ireland,lost,10,42,-32,1,1,1,0,,NewZealand,Auckland,09/06/2012
Ireland,lost,19,22,-3,1,1,4,0,,NewZealand,Christchurch,16/06/2012
Ireland,lost,0,60,-60,0,0,0,0,,NewZealand,Hamilton,23/06/2012
Ireland,lost,12,16,-4,0,0,4,0,,SouthAfrica,Lansdowne Road,10/11/2012
Ireland,won,46,24,22,7,4,1,0,,Argentina,Lansdowne Road,24/11/2012
Ireland,won,30,22,8,3,3,3,0,,Wales,Millennium Stadium,02/02/2013
Ireland,lost,6,12,-6,0,0,2,0,,England,Lansdowne Road,10/02/2013
Ireland,lost,8,12,-4,1,0,1,0,,Scotland,Murrayfield,24/02/2013
Ireland,draw,13,13,0,1,1,2,0,,France,Lansdowne Road,09/03/2013
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ireland,lost,15,22,-7,0,0,5,0,,Italy,Rome,16/03/2013
Ireland,won,15,12,3,0,0,5,0,,USA,Houston,08/06/2013
Ireland,won,40,14,26,6,5,0,0,,Canada,Toronto,15/06/2013
Ireland,won,40,9,31,5,3,3,0,,Samoa,Lansdowne Road,09/11/2013
Ireland,lost,15,32,-17,0,0,5,0,,Australia,Lansdowne Road,16/11/2013
Ireland,lost,22,24,-2,3,2,1,0,,NewZealand,Lansdowne Road,24/11/2013
Ireland,won,28,6,22,3,2,3,0,,Scotland,Lansdowne Road,02/02/2014
Ireland,won,26,3,23,2,2,4,0,,Wales,Lansdowne Road,08/02/2014
Ireland,lost,10,13,-3,1,1,1,0,,England,Twickenham,22/02/2014
Ireland,won,46,7,39,7,4,1,0,,Italy,Lansdowne Road,08/03/2014
Ireland,won,22,20,2,3,2,1,0,,France,Stade de France,15/03/2014
Ireland,won,29,17,12,3,1,4,0,,Argentina,Resistencia,07/06/2014
Ireland,won,23,17,6,2,2,3,0,,Argentina,Tucuman,14/06/2014
Ireland,won,29,15,14,2,2,5,0,,SouthAfrica,Lansdowne Road,08/11/2014
Ireland,won,49,7,42,6,5,3,0,,Georgia,Lansdowne Road,16/11/2014
Ireland,won,26,23,3,2,2,4,0,,Australia,Lansdowne Road,22/11/2014
Ireland,won,26,3,23,2,2,4,0,,Italy,Rome,07/02/2015
Ireland,won,18,11,7,0,0,6,0,,France,Lansdowne Road,14/02/2015
Ireland,won,19,9,10,1,1,4,0,,England,Lansdowne Road,01/03/2015
Ireland,lost,16,23,-7,1,1,3,0,,Wales,Millennium Stadium,14/03/2015
Ireland,won,40,10,30,4,4,4,0,,Scotland,Murrayfield,21/03/2015
Ireland,won,35,21,14,5,2,2,0,,Wales,Millennium Stadium,08/08/2015
Ireland,won,28,22,6,4,4,0,0,,Scotland,Lansdowne Road,15/08/2015
Ireland,lost,10,16,-6,1,1,1,0,,Wales,Lansdowne Road,29/08/2015
Ireland,lost,13,21,-8,1,1,2,0,,England,Twickenham,05/09/2015
Ireland,won,50,7,43,7,6,1,0,,Canada,Millennium Stadium,19/09/2015
Ireland,won,44,10,34,6,4,2,0,,Romania,Wembley,27/09/2015
Ireland,won,16,9,7,1,1,3,0,,Italy,London,04/10/2015
Ireland,won,24,9,15,2,1,4,0,,France,Millennium Stadium,11/10/2015
Ireland,lost,20,43,-23,2,2,2,0,,Argentina,Millennium Stadium,18/10/2015
Ireland,draw,16,16,0,1,1,3,0,,Wales,Lansdowne Road,07/02/2016
Ireland,lost,9,10,-1,0,0,3,0,,France,Stade de France,13/02/2016
Ireland,lost,10,21,-11,1,1,1,0,,England,Twickenham,27/02/2016
Ireland,won,58,15,43,9,5,1,0,,Italy,Lansdowne Road,12/03/2016
Ireland,won,35,25,10,4,3,3,0,,Scotland,Lansdowne Road,19/03/2016
Ireland,won,26,20,6,2,2,3,1,,SouthAfrica,Cape Town,11/06/2016
Ireland,lost,26,32,-6,2,2,4,0,,SouthAfrica,Johannesburg,18/06/2016
